frequency_hz,magnitude_db,phase_degrees
0.000000,-148.508073,179.999991
2.929688,-84.390594,179.112108
5.859375,-72.346884,178.219197
8.789062,-65.305235,177.329975
11.718750,-60.310333,176.440643
14.648438,-56.437455,175.550246
17.578125,-53.274272,174.660887
20.507812,-50.601368,173.772320
23.437500,-48.287238,172.883686
26.367188,-46.247530,171.995788
29.296875,-44.424289,171.108560
32.226562,-42.776432,170.221606
35.156250,-41.273464,169.335402
38.085938,-39.892303,168.449978
41.015625,-38.614955,167.565386
43.945312,-37.427204,166.681683
46.875000,-36.317556,165.798730
49.804688,-35.276642,164.916912
52.734375,-34.296658,164.036036
55.664062,-33.371106,163.156185
58.593750,-32.494452,162.277536
61.523438,-31.661997,161.400102
64.453125,-30.869681,160.523844
67.382812,-30.114014,159.648924
70.312500,-29.391914,158.775329
73.242188,-28.700709,157.903196
76.171875,-28.038012,157.032497
79.101562,-27.401722,156.163301
82.031250,-26.789970,155.295648
84.960938,-26.201072,154.429689
87.890625,-25.633517,153.565370
90.820312,-25.085949,152.702758
93.750000,-24.557143,151.841867
96.679688,-24.045966,150.982875
99.609375,-23.551412,150.125700
102.539062,-23.072547,149.270424
105.468750,-22.608516,148.417087
108.398438,-22.158536,147.565773
111.328125,-21.721890,146.716493
114.257812,-21.297909,145.869317
117.187500,-20.885982,145.024232
120.117188,-20.485542,144.181332
123.046875,-20.096045,143.340645
125.976562,-19.717011,142.502198
128.906250,-19.347981,141.666046
131.835938,-18.988520,140.832203
134.765625,-18.638234,140.000737
137.695312,-18.296745,139.171648
140.625000,-17.963699,138.345004
143.554688,-17.638766,137.520818
146.484375,-17.321637,136.699133
149.414062,-17.012019,135.879988
152.343750,-16.709633,135.063398
155.273438,-16.414222,134.249404
158.203125,-16.125534,133.438032
161.132812,-15.843339,132.629310
164.062500,-15.567415,131.823266
166.992188,-15.297552,131.019926
169.921875,-15.033550,130.219319
172.851562,-14.775221,129.421484
175.781250,-14.522384,128.626409
178.710938,-14.274863,127.834148
181.640625,-14.032502,127.044715
184.570312,-13.795140,126.258123
187.500000,-13.562630,125.474400
190.429688,-13.334827,124.693559
193.359375,-13.111596,123.915642
196.289062,-12.892806,123.140634
199.218750,-12.678334,122.368576
202.148438,-12.468059,121.599470
205.078125,-12.261867,120.833341
208.007812,-12.059645,120.070204
210.937500,-11.861291,119.310072
213.867188,-11.666700,118.552946
216.796875,-11.475774,117.798852
219.726562,-11.288423,117.047791
222.656250,-11.104552,116.299789
225.585938,-10.924075,115.554834
228.515625,-10.746909,114.812966
231.445312,-10.572971,114.074159
234.375000,-10.402184,113.338445
237.304688,-10.234473,112.605818
240.234375,-10.069762,111.876292
243.164062,-9.907982,111.149868
246.093750,-9.749065,110.426551
249.023438,-9.592945,109.706355
251.953125,-9.439559,108.989267
254.882812,-9.288843,108.275307
257.812500,-9.140737,107.564469
260.742188,-8.995187,106.856752
263.671875,-8.852133,106.152164
266.601562,-8.711521,105.450696
269.531250,-8.573298,104.752364
272.460938,-8.437415,104.057153
275.390625,-8.303821,103.365064
278.320312,-8.172465,102.676096
281.250000,-8.043304,101.990256
284.179688,-7.916289,101.307538
287.109375,-7.791378,100.627927
290.039062,-7.668527,99.951431
292.968750,-7.547695,99.278043
295.898438,-7.428839,98.607748
298.828125,-7.311922,97.940562
301.757812,-7.196904,97.276469
304.687500,-7.083748,96.615464
307.617188,-6.972416,95.957533
310.546875,-6.862874,95.302681
313.476562,-6.755086,94.650897
316.406250,-6.649019,94.002172
319.335938,-6.544640,93.356501
322.265625,-6.441916,92.713869
325.195312,-6.340816,92.074283
328.125000,-6.241310,91.437710
331.054688,-6.143368,90.804162
333.984375,-6.046960,90.173619
336.914062,-5.952058,89.546082
339.843750,-5.858635,88.921529
342.773438,-5.766662,88.299955
345.703125,-5.676115,87.681345
348.632812,-5.586969,87.065699
351.562500,-5.499195,86.453003
354.492188,-5.412768,85.843231
357.421875,-5.327670,85.236390
360.351562,-5.243870,84.632457
363.281250,-5.161351,84.031428
366.210938,-5.080087,83.433281
369.140625,-5.000059,82.838016
372.070312,-4.921241,82.245614
375.000000,-4.843617,81.656059
377.929688,-4.767162,81.069339
380.859375,-4.691858,80.485447
383.789062,-4.617685,79.904375
386.718750,-4.544625,79.326090
389.648438,-4.472657,78.750585
392.578125,-4.401765,78.177860
395.507812,-4.331928,77.607895
398.437500,-4.263130,77.040675
401.367188,-4.195355,76.476173
404.296875,-4.128582,75.914397
407.226562,-4.062800,75.355319
410.156250,-3.997986,74.798932
413.085938,-3.934130,74.245222
416.015625,-3.871213,73.694162
418.945312,-3.809222,73.145753
421.875000,-3.748140,72.599973
424.804688,-3.687954,72.056809
427.734375,-3.628648,71.516247
430.664062,-3.570207,70.978274
433.593750,-3.512622,70.442862
436.523438,-3.455873,69.910012
439.453125,-3.399953,69.379709
442.382812,-3.344845,68.851934
445.312500,-3.290536,68.326672
448.242188,-3.237016,67.803903
451.171875,-3.184272,67.283627
454.101562,-3.132289,66.765809
457.031250,-3.081058,66.250451
459.960938,-3.030567,65.737531
462.890625,-2.980805,65.227036
465.820312,-2.931761,64.718945
468.750000,-2.883422,64.213252
471.679688,-2.835781,63.709935
474.609375,-2.788823,63.208995
477.539062,-2.742539,62.710391
480.468750,-2.696921,62.214130
483.398438,-2.651958,61.720185
486.328125,-2.607639,61.228548
489.257812,-2.563956,60.739206
492.187500,-2.520898,60.252138
495.117188,-2.478457,59.767331
498.046875,-2.436624,59.284765
500.976562,-2.395388,58.804439
503.906250,-2.354744,58.326332
506.835938,-2.314679,57.850432
509.765625,-2.275188,57.376717
512.695312,-2.236262,56.905175
515.625000,-2.197891,56.435794
518.554688,-2.160069,55.968564
521.484375,-2.122787,55.503459
524.414062,-2.086037,55.040478
527.343750,-2.049814,54.579594
530.273438,-2.014108,54.120810
533.203125,-1.978911,53.664096
536.132812,-1.944218,53.209445
539.062500,-1.910021,52.756842
541.992188,-1.876315,52.306275
544.921875,-1.843090,51.857726
547.851562,-1.810339,51.411189
550.781250,-1.778058,50.966639
553.710938,-1.746240,50.524077
556.640625,-1.714877,50.083479
559.570312,-1.683965,49.644830
562.500000,-1.653496,49.208122
565.429688,-1.623465,48.773346
568.359375,-1.593865,48.340479
571.289062,-1.564692,47.909508
574.218750,-1.535938,47.480436
577.148438,-1.507599,47.053231
580.078125,-1.479668,46.627888
583.007812,-1.452141,46.204396
585.937500,-1.425012,45.782738
588.867188,-1.398275,45.362906
591.796875,-1.371927,44.944885
594.726562,-1.345960,44.528660
597.656250,-1.320371,44.114228
600.585938,-1.295154,43.701565
603.515625,-1.270305,43.290661
606.445312,-1.245818,42.881516
609.375000,-1.221690,42.474095
612.304688,-1.197914,42.068409
615.234375,-1.174488,41.664434
618.164062,-1.151405,41.262160
621.093750,-1.128662,40.861576
624.023438,-1.106255,40.462672
626.953125,-1.084180,40.065435
629.882812,-1.062431,39.669851
632.812500,-1.041005,39.275913
635.742188,-1.019898,38.883604
638.671875,-0.999107,38.492924
641.601562,-0.978626,38.103850
644.531250,-0.958452,37.716376
647.460938,-0.938580,37.330488
650.390625,-0.919007,36.946177
653.320312,-0.899731,36.563434
656.250000,-0.880747,36.182241
659.179688,-0.862051,35.802598
662.109375,-0.843640,35.424486
665.039062,-0.825510,35.047907
667.968750,-0.807659,34.672827
670.898438,-0.790082,34.299257
673.828125,-0.772775,33.927182
676.757812,-0.755736,33.556586
679.687500,-0.738964,33.187462
682.617188,-0.722451,32.819803
685.546875,-0.706199,32.453593
688.476562,-0.690200,32.088823
691.406250,-0.674455,31.725491
694.335938,-0.658958,31.363576
697.265625,-0.643708,31.003076
700.195312,-0.628701,30.643985
703.125000,-0.613935,30.286285
706.054688,-0.599407,29.929964
708.984375,-0.585113,29.575023
711.914062,-0.571052,29.221448
714.843750,-0.557220,28.869225
717.773438,-0.543615,28.518357
