frequency_hz,magnitude_db,phase_degrees
0.000000,-200.000000,0.000000
2.929688,-50.663632,89.833305
5.859375,-44.643110,89.663985
8.789062,-41.121475,89.496590
11.718750,-38.622957,89.328506
14.648438,-36.685090,89.160702
17.578125,-35.101869,88.992836
20.507812,-33.763422,88.825326
23.437500,-32.604146,88.657297
26.367188,-31.581739,88.489540
29.296875,-30.667307,88.321852
32.226562,-29.840214,88.154240
35.156250,-29.085297,87.986470
38.085938,-28.390986,87.818870
41.015625,-27.748285,87.651271
43.945312,-27.150089,87.483672
46.875000,-26.590677,87.316134
49.804688,-26.065321,87.148767
52.734375,-25.570143,86.981264
55.664062,-25.101900,86.814013
58.593750,-24.657829,86.646728
61.523438,-24.235550,86.479368
64.453125,-23.833080,86.312213
67.382812,-23.448638,86.145037
70.312500,-23.080711,85.977984
73.242188,-22.727947,85.811034
76.171875,-22.389170,85.644090
79.101562,-22.063313,85.477236
82.031250,-21.749464,85.310408
84.960938,-21.446756,85.143752
87.890625,-21.154469,84.977163
90.820312,-20.871919,84.810555
93.750000,-20.598470,84.644144
96.679688,-20.333581,84.477788
99.609375,-20.076757,84.311507
102.539062,-19.827510,84.145294
105.468750,-19.585435,83.979218
108.398438,-19.350128,83.813313
111.328125,-19.121246,83.647401
114.257812,-18.898451,83.481700
117.187500,-18.681443,83.316020
120.117188,-18.469940,83.150484
123.046875,-18.263668,82.985070
125.976562,-18.062389,82.819732
128.906250,-17.865889,82.654564
131.835938,-17.673947,82.489479
134.765625,-17.486365,82.324571
137.695312,-17.302958,82.159724
140.625000,-17.123555,81.995055
143.554688,-16.947992,81.830495
146.484375,-16.776118,81.666106
149.414062,-16.607787,81.501813
152.343750,-16.442866,81.337683
155.273438,-16.281231,81.173677
158.203125,-16.122750,81.009827
161.132812,-15.967328,80.846115
164.062500,-15.814839,80.682559
166.992188,-15.665194,80.519181
169.921875,-15.518287,80.355912
172.851562,-15.374029,80.192834
175.781250,-15.232337,80.029859
178.710938,-15.093129,79.867130
181.640625,-14.956318,79.704510
184.570312,-14.821835,79.542088
187.500000,-14.689612,79.379823
190.429688,-14.559575,79.217722
193.359375,-14.431662,79.055792
196.289062,-14.305804,78.894060
199.218750,-14.181954,78.732485
202.148438,-14.060046,78.571129
205.078125,-13.940030,78.409902
208.007812,-13.821848,78.248901
210.937500,-13.705460,78.088050
213.867188,-13.590808,77.927425
216.796875,-13.477856,77.766963
219.726562,-13.366551,77.606699
222.656250,-13.256854,77.446641
225.585938,-13.148727,77.286787
228.515625,-13.042127,77.127138
231.445312,-12.937021,76.967660
234.375000,-12.833372,76.808387
237.304688,-12.731142,76.649346
240.234375,-12.630297,76.490510
243.164062,-12.530806,76.331865
246.093750,-12.432642,76.173432
249.023438,-12.335769,76.015245
251.953125,-12.240160,75.857222
254.882812,-12.145787,75.699465
257.812500,-12.052625,75.541933
260.742188,-11.960641,75.384600
263.671875,-11.869819,75.227499
266.601562,-11.780128,75.070623
269.531250,-11.691547,74.913972
272.460938,-11.604049,74.757554
275.390625,-11.517620,74.601348
278.320312,-11.432233,74.445401
281.250000,-11.347862,74.289673
284.179688,-11.264497,74.134190
287.109375,-11.182113,73.978940
290.039062,-11.100690,73.823949
292.968750,-11.020217,73.669164
295.898438,-10.940663,73.514644
298.828125,-10.862021,73.360384
301.757812,-10.784272,73.206323
304.687500,-10.707397,73.052555
307.617188,-10.631381,72.899039
310.546875,-10.556213,72.745743
313.476562,-10.481869,72.592719
316.406250,-10.408342,72.439948
319.335938,-10.335615,72.287437
322.265625,-10.263674,72.135171
325.195312,-10.192507,71.983179
328.125000,-10.122098,71.831440
331.054688,-10.052434,71.679960
333.984375,-9.983504,71.528726
336.914062,-9.915298,71.377799
339.843750,-9.847803,71.227125
342.773438,-9.781005,71.076704
345.703125,-9.714892,70.926556
348.632812,-9.649457,70.776681
351.562500,-9.584689,70.627079
354.492188,-9.520573,70.477730
357.421875,-9.457102,70.328689
360.351562,-9.394266,70.179893
363.281250,-9.332055,70.031391
366.210938,-9.270460,69.883176
369.140625,-9.209472,69.735221
372.070312,-9.149080,69.587552
375.000000,-9.089274,69.440170
377.929688,-9.030051,69.293082
380.859375,-8.971396,69.146247
383.789062,-8.913304,68.999725
386.718750,-8.855764,68.853470
389.648438,-8.798774,68.707502
392.578125,-8.742322,68.561828
395.507812,-8.686400,68.416434
398.437500,-8.631002,68.271354
401.367188,-8.576121,68.126533
404.296875,-8.521750,67.982013
407.226562,-8.467879,67.837808
410.156250,-8.414503,67.693868
413.085938,-8.361617,67.550257
416.015625,-8.309212,67.406905
418.945312,-8.257283,67.263860
421.875000,-8.205825,67.121116
424.804688,-8.154826,66.978665
427.734375,-8.104286,66.836529
430.664062,-8.054199,66.694680
433.593750,-8.004553,66.553124
436.523438,-7.955351,66.411890
439.453125,-7.906580,66.270928
442.382812,-7.858236,66.130295
445.312500,-7.810318,65.989968
448.242188,-7.762814,65.849929
451.171875,-7.715726,65.710204
454.101562,-7.669042,65.570765
457.031250,-7.622763,65.431655
459.960938,-7.576879,65.292845
462.890625,-7.531389,65.154329
465.820312,-7.486285,65.016140
468.750000,-7.441563,64.878259
471.679688,-7.397224,64.740679
474.609375,-7.353254,64.603399
477.539062,-7.309657,64.466447
480.468750,-7.266423,64.329788
483.398438,-7.223551,64.193451
486.328125,-7.181034,64.057435
489.257812,-7.138870,63.921719
492.187500,-7.097056,63.786310
495.117188,-7.055584,63.651209
498.046875,-7.014453,63.516443
500.976562,-6.973658,63.381970
503.906250,-6.933196,63.247825
506.835938,-6.893065,63.113994
509.765625,-6.853257,62.980464
512.695312,-6.813771,62.847262
515.625000,-6.774603,62.714380
518.554688,-6.735750,62.581800
521.484375,-6.697208,62.449533
524.414062,-6.658974,62.317601
527.343750,-6.621045,62.185970
530.273438,-6.583416,62.054659
533.203125,-6.546084,61.923656
536.132812,-6.509048,61.792988
539.062500,-6.472301,61.662627
541.992188,-6.435845,61.532580
544.921875,-6.399672,61.402861
547.851562,-6.363784,61.273443
550.781250,-6.328174,61.144366
553.710938,-6.292840,61.015589
556.640625,-6.257779,60.887141
559.570312,-6.222989,60.758993
562.500000,-6.188467,60.631186
565.429688,-6.154211,60.503687
568.359375,-6.120216,60.376502
571.289062,-6.086479,60.249631
574.218750,-6.053004,60.123102
577.148438,-6.019779,59.996873
580.078125,-5.986805,59.870966
583.007812,-5.954084,59.745379
585.937500,-5.921608,59.620107
588.867188,-5.889376,59.495155
591.796875,-5.857386,59.370525
594.726562,-5.825636,59.246222
597.656250,-5.794122,59.122220
600.585938,-5.762843,58.998539
603.515625,-5.731797,58.875179
606.445312,-5.700980,58.752133
609.375000,-5.670393,58.629415
612.304688,-5.640029,58.507004
615.234375,-5.609892,58.384908
618.164062,-5.579973,58.263153
621.093750,-5.550275,58.141685
624.023438,-5.520795,58.020565
626.953125,-5.491529,57.899739
629.882812,-5.462476,57.779241
632.812500,-5.433633,57.659043
635.742188,-5.405000,57.539187
638.671875,-5.376573,57.419625
641.601562,-5.348353,57.300397
644.531250,-5.320335,57.181463
647.460938,-5.292518,57.062863
650.390625,-5.264900,56.944578
653.320312,-5.237481,56.826604
656.250000,-5.210256,56.708943
659.179688,-5.183226,56.591597
662.109375,-5.156387,56.474562
665.039062,-5.129739,56.357848
667.968750,-5.103280,56.241444
670.898438,-5.077008,56.125358
673.828125,-5.050919,56.009583
676.757812,-5.025017,55.894112
679.687500,-4.999294,55.778955
682.617188,-4.973752,55.664129
685.546875,-4.948389,55.549601
688.476562,-4.923202,55.435379
691.406250,-4.898190,55.321476
694.335938,-4.873354,55.207876
697.265625,-4.848689,55.094587
700.195312,-4.824195,54.981619
703.125000,-4.799869,54.868948
706.054688,-4.775713,54.756592
708.984375,-4.751720,54.644543
711.914062,-4.727895,54.532804
714.843750,-4.704230,54.421366
717.773438,-4.680730,54.310239
720.703125,-4.657389,54.199416
723.632812,-4.634208,54.088907
726.562500,-4.611184,53.978708
729.492188,-4.588316,53.868797
732.421875,-4.565603,53.759207
