frequency_hz,magnitude_db,phase_degrees
1.000000,-40.000538,89.312477
1.000693,-39.994519,89.312000
1.001387,-39.988499,89.311523
1.002082,-39.982479,89.311046
1.002776,-39.976459,89.310568
1.003472,-39.970439,89.310090
1.004168,-39.964419,89.309612
1.004864,-39.958400,89.309133
1.005561,-39.952380,89.308654
1.006258,-39.946360,89.308175
1.006956,-39.940340,89.307695
1.007654,-39.934320,89.307215
1.008352,-39.928300,89.306735
1.009052,-39.922280,89.306254
1.009751,-39.916261,89.305773
1.010451,-39.910241,89.305292
1.011152,-39.904221,89.304810
1.011853,-39.898201,89.304328
1.012555,-39.892181,89.303846
1.013257,-39.886161,89.303363
1.013959,-39.880142,89.302880
1.014663,-39.874122,89.302397
1.015366,-39.868102,89.301913
1.016070,-39.862082,89.301429
1.016775,-39.856062,89.300945
1.017480,-39.850042,89.300460
1.018185,-39.844023,89.299975
1.018891,-39.838003,89.299490
1.019598,-39.831983,89.299004
1.020305,-39.825963,89.298518
1.021012,-39.819943,89.298032
1.021720,-39.813924,89.297545
1.022429,-39.807904,89.297058
1.023137,-39.801884,89.296570
1.023847,-39.795864,89.296083
1.024557,-39.789844,89.295595
1.025267,-39.783824,89.295106
1.025978,-39.777805,89.294618
1.026690,-39.771785,89.294129
1.027401,-39.765765,89.293639
1.028114,-39.759745,89.293149
1.028827,-39.753725,89.292659
1.029540,-39.747706,89.292169
1.030254,-39.741686,89.291678
1.030968,-39.735666,89.291187
1.031683,-39.729646,89.290696
1.032399,-39.723626,89.290204
1.033114,-39.717607,89.289712
1.033831,-39.711587,89.289219
1.034548,-39.705567,89.288726
1.035265,-39.699547,89.288233
1.035983,-39.693527,89.287740
1.036701,-39.687508,89.287246
1.037420,-39.681488,89.286752
1.038139,-39.675468,89.286257
1.038859,-39.669448,89.285762
1.039579,-39.663428,89.285267
1.040300,-39.657409,89.284772
1.041022,-39.651389,89.284276
1.041743,-39.645369,89.283780
1.042466,-39.639349,89.283283
1.043189,-39.633329,89.282786
1.043912,-39.627310,89.282289
1.044636,-39.621290,89.281791
1.045360,-39.615270,89.281293
1.046085,-39.609250,89.280795
1.046810,-39.603230,89.280296
1.047536,-39.597211,89.279797
1.048262,-39.591191,89.279298
1.048989,-39.585171,89.278798
1.049717,-39.579151,89.278298
1.050445,-39.573132,89.277798
1.051173,-39.567112,89.277297
1.051902,-39.561092,89.276796
1.052631,-39.555072,89.276295
1.053361,-39.549052,89.275793
1.054091,-39.543033,89.275291
1.054822,-39.537013,89.274788
1.055554,-39.530993,89.274285
1.056286,-39.524973,89.273782
1.057018,-39.518954,89.273279
1.057751,-39.512934,89.272775
1.058484,-39.506914,89.272271
1.059218,-39.500894,89.271766
1.059953,-39.494875,89.271261
1.060688,-39.488855,89.270756
1.061423,-39.482835,89.270250
1.062159,-39.476815,89.269744
1.062896,-39.470796,89.269238
1.063633,-39.464776,89.268731
1.064370,-39.458756,89.268224
1.065108,-39.452736,89.267717
1.065847,-39.446717,89.267209
1.066586,-39.440697,89.266701
1.067325,-39.434677,89.266193
1.068065,-39.428657,89.265684
1.068806,-39.422638,89.265175
1.069547,-39.416618,89.264666
1.070289,-39.410598,89.264156
1.071031,-39.404578,89.263646
1.071773,-39.398559,89.263135
1.072517,-39.392539,89.262624
1.073260,-39.386519,89.262113
1.074004,-39.380499,89.261601
1.074749,-39.374480,89.261089
1.075494,-39.368460,89.260577
1.076240,-39.362440,89.260064
1.076986,-39.356420,89.259551
1.077733,-39.350401,89.259038
1.078480,-39.344381,89.258524
1.079228,-39.338361,89.258010
1.079977,-39.332341,89.257496
1.080725,-39.326322,89.256981
1.081475,-39.320302,89.256466
1.082225,-39.314282,89.255950
1.082975,-39.308263,89.255434
1.083726,-39.302243,89.254918
1.084477,-39.296223,89.254402
1.085229,-39.290203,89.253885
1.085982,-39.284184,89.253367
1.086735,-39.278164,89.252850
1.087488,-39.272144,89.252332
1.088242,-39.266125,89.251813
1.088997,-39.260105,89.251295
1.089752,-39.254085,89.250775
1.090508,-39.248065,89.250256
1.091264,-39.242046,89.249736
1.092021,-39.236026,89.249216
1.092778,-39.230006,89.248695
1.093535,-39.223987,89.248175
1.094294,-39.217967,89.247653
1.095052,-39.211947,89.247132
1.095812,-39.205927,89.246610
1.096572,-39.199908,89.246087
1.097332,-39.193888,89.245565
1.098093,-39.187868,89.245042
1.098854,-39.181849,89.244518
1.099616,-39.175829,89.243994
1.100379,-39.169809,89.243470
1.101142,-39.163790,89.242946
1.101905,-39.157770,89.242421
1.102669,-39.151750,89.241896
1.103434,-39.145730,89.241370
1.104199,-39.139711,89.240844
1.104964,-39.133691,89.240318
1.105731,-39.127671,89.239791
1.106497,-39.121652,89.239264
1.107265,-39.115632,89.238736
1.108032,-39.109612,89.238209
1.108801,-39.103593,89.237680
1.109569,-39.097573,89.237152
1.110339,-39.091553,89.236623
1.111109,-39.085534,89.236094
1.111879,-39.079514,89.235564
1.112650,-39.073494,89.235034
1.113422,-39.067475,89.234504
1.114194,-39.061455,89.233973
1.114966,-39.055435,89.233442
1.115739,-39.049416,89.232910
1.116513,-39.043396,89.232379
1.117287,-39.037376,89.231846
1.118062,-39.031357,89.231314
1.118837,-39.025337,89.230781
1.119613,-39.019317,89.230248
1.120389,-39.013298,89.229714
1.121166,-39.007278,89.229180
1.121943,-39.001258,89.228645
1.122721,-38.995239,89.228111
1.123500,-38.989219,89.227575
1.124279,-38.983199,89.227040
1.125058,-38.977180,89.226504
1.125839,-38.971160,89.225968
1.126619,-38.965140,89.225431
1.127400,-38.959121,89.224894
1.128182,-38.953101,89.224357
1.128964,-38.947081,89.223819
1.129747,-38.941062,89.223281
1.130531,-38.935042,89.222742
1.131314,-38.929022,89.222203
1.132099,-38.923003,89.221664
1.132884,-38.916983,89.221124
1.133669,-38.910963,89.220584
1.134455,-38.904944,89.220044
1.135242,-38.898924,89.219503
1.136029,-38.892905,89.218962
1.136817,-38.886885,89.218421
1.137605,-38.880865,89.217879
1.138394,-38.874846,89.217336
1.139183,-38.868826,89.216794
1.139973,-38.862806,89.216251
1.140764,-38.856787,89.215707
1.141555,-38.850767,89.215164
1.142346,-38.844748,89.214620
1.143138,-38.838728,89.214075
1.143931,-38.832708,89.213530
1.144724,-38.826689,89.212985
1.145518,-38.820669,89.212439
1.146312,-38.814649,89.211893
1.147107,-38.808630,89.211347
1.147902,-38.802610,89.210800
1.148698,-38.796591,89.210253
1.149495,-38.790571,89.209705
1.150292,-38.784551,89.209157
1.151089,-38.778532,89.208609
1.151888,-38.772512,89.208060
1.152686,-38.766492,89.207511
1.153486,-38.760473,89.206962
1.154285,-38.754453,89.206412
1.155086,-38.748434,89.205862
1.155887,-38.742414,89.205311
1.156688,-38.736394,89.204760
1.157490,-38.730375,89.204209
1.158293,-38.724355,89.203657
1.159096,-38.718336,89.203105
1.159900,-38.712316,89.202553
1.160704,-38.706296,89.202000
1.161509,-38.700277,89.201446
1.162314,-38.694257,89.200893
1.163120,-38.688238,89.200339
1.163927,-38.682218,89.199784
1.164734,-38.676199,89.199229
1.165541,-38.670179,89.198674
1.166349,-38.664159,89.198119
1.167158,-38.658140,89.197563
1.167967,-38.652120,89.197006
1.168777,-38.646101,89.196450
1.169588,-38.640081,89.195893
1.170399,-38.634061,89.195335
1.171210,-38.628042,89.194777
1.172022,-38.622022,89.194219
1.172835,-38.616003,89.193660
1.173648,-38.609983,89.193101
1.174462,-38.603964,89.192542
1.175276,-38.597944,89.191982
1.176091,-38.591924,89.191422
1.176907,-38.585905,89.190861
1.177723,-38.579885,89.190300
1.178539,-38.573866,89.189739
1.179357,-38.567846,89.189177
1.180174,-38.561827,89.188615
1.180993,-38.555807,89.188052
1.181812,-38.549788,89.187489
1.182631,-38.543768,89.186926
1.183451,-38.537748,89.186362
1.184272,-38.531729,89.185798
1.185093,-38.525709,89.185234
1.185914,-38.519690,89.184669
1.186737,-38.513670,89.184104
1.187560,-38.507651,89.183538
1.188383,-38.501631,89.182972
1.189207,-38.495612,89.182405
1.190032,-38.489592,89.181839
1.190857,-38.483572,89.181271
1.191683,-38.477553,89.180704
