frequency_hz,magnitude_db,phase_degrees
1.000000,-102.885730,179.539638
1.000693,-102.873689,179.539318
1.001387,-102.861648,179.538999
1.002082,-102.849607,179.538679
1.002776,-102.837566,179.538359
1.003472,-102.825525,179.538039
1.004168,-102.813484,179.537719
1.004864,-102.801443,179.537399
1.005561,-102.789403,179.537078
1.006258,-102.777362,179.536757
1.006956,-102.765321,179.536436
1.007654,-102.753280,179.536114
1.008352,-102.741239,179.535793
1.009052,-102.729198,179.535471
1.009751,-102.717157,179.535149
1.010451,-102.705116,179.534826
1.011152,-102.693075,179.534504
1.011853,-102.681035,179.534181
1.012555,-102.668994,179.533858
1.013257,-102.656953,179.533535
1.013959,-102.644912,179.533211
1.014663,-102.632871,179.532888
1.015366,-102.620830,179.532564
1.016070,-102.608789,179.532240
1.016775,-102.596748,179.531915
1.017480,-102.584707,179.531591
1.018185,-102.572667,179.531266
1.018891,-102.560626,179.530941
1.019598,-102.548585,179.530616
1.020305,-102.536544,179.530290
1.021012,-102.524503,179.529965
1.021720,-102.512462,179.529639
1.022429,-102.500421,179.529313
1.023137,-102.488380,179.528986
1.023847,-102.476339,179.528660
1.024557,-102.464299,179.528333
1.025267,-102.452258,179.528006
1.025978,-102.440217,179.527679
1.026690,-102.428176,179.527351
1.027401,-102.416135,179.527023
1.028114,-102.404094,179.526695
1.028827,-102.392053,179.526367
1.029540,-102.380012,179.526039
1.030254,-102.367972,179.525710
1.030968,-102.355931,179.525381
1.031683,-102.343890,179.525052
1.032399,-102.331849,179.524723
1.033114,-102.319808,179.524393
1.033831,-102.307767,179.524064
1.034548,-102.295726,179.523734
1.035265,-102.283685,179.523403
1.035983,-102.271644,179.523073
1.036701,-102.259604,179.522742
1.037420,-102.247563,179.522411
1.038139,-102.235522,179.522080
1.038859,-102.223481,179.521749
1.039579,-102.211440,179.521417
1.040300,-102.199399,179.521085
1.041022,-102.187358,179.520753
1.041743,-102.175318,179.520421
1.042466,-102.163277,179.520089
1.043189,-102.151236,179.519756
1.043912,-102.139195,179.519423
1.044636,-102.127154,179.519090
1.045360,-102.115113,179.518756
1.046085,-102.103072,179.518422
1.046810,-102.091031,179.518089
1.047536,-102.078991,179.517754
1.048262,-102.066950,179.517420
1.048989,-102.054909,179.517085
1.049717,-102.042868,179.516751
1.050445,-102.030827,179.516416
1.051173,-102.018786,179.516080
1.051902,-102.006745,179.515745
1.052631,-101.994704,179.515409
1.053361,-101.982664,179.515073
1.054091,-101.970623,179.514737
1.054822,-101.958582,179.514400
1.055554,-101.946541,179.514064
1.056286,-101.934500,179.513727
1.057018,-101.922459,179.513389
1.057751,-101.910418,179.513052
1.058484,-101.898378,179.512714
1.059218,-101.886337,179.512377
1.059953,-101.874296,179.512038
1.060688,-101.862255,179.511700
1.061423,-101.850214,179.511362
1.062159,-101.838173,179.511023
1.062896,-101.826132,179.510684
1.063633,-101.814092,179.510344
1.064370,-101.802051,179.510005
1.065108,-101.790010,179.509665
1.065847,-101.777969,179.509325
1.066586,-101.765928,179.508985
1.067325,-101.753887,179.508645
1.068065,-101.741846,179.508304
1.068806,-101.729806,179.507963
1.069547,-101.717765,179.507622
1.070289,-101.705724,179.507280
1.071031,-101.693683,179.506939
1.071773,-101.681642,179.506597
1.072517,-101.669601,179.506255
1.073260,-101.657560,179.505912
1.074004,-101.645520,179.505570
1.074749,-101.633479,179.505227
1.075494,-101.621438,179.504884
1.076240,-101.609397,179.504541
1.076986,-101.597356,179.504197
1.077733,-101.585315,179.503853
1.078480,-101.573275,179.503509
1.079228,-101.561234,179.503165
1.079977,-101.549193,179.502821
1.080725,-101.537152,179.502476
1.081475,-101.525111,179.502131
1.082225,-101.513070,179.501786
1.082975,-101.501029,179.501440
1.083726,-101.488989,179.501095
1.084477,-101.476948,179.500749
1.085229,-101.464907,179.500402
1.085982,-101.452866,179.500056
1.086735,-101.440825,179.499709
1.087488,-101.428784,179.499363
1.088242,-101.416744,179.499015
1.088997,-101.404703,179.498668
1.089752,-101.392662,179.498320
1.090508,-101.380621,179.497973
1.091264,-101.368580,179.497624
1.092021,-101.356539,179.497276
1.092778,-101.344498,179.496928
1.093535,-101.332458,179.496579
1.094294,-101.320417,179.496230
1.095052,-101.308376,179.495880
1.095812,-101.296335,179.495531
1.096572,-101.284294,179.495181
1.097332,-101.272253,179.494831
1.098093,-101.260213,179.494481
1.098854,-101.248172,179.494130
1.099616,-101.236131,179.493780
1.100379,-101.224090,179.493429
1.101142,-101.212049,179.493077
1.101905,-101.200008,179.492726
1.102669,-101.187968,179.492374
1.103434,-101.175927,179.492022
1.104199,-101.163886,179.491670
1.104964,-101.151845,179.491317
1.105731,-101.139804,179.490965
1.106497,-101.127763,179.490612
1.107265,-101.115723,179.490259
1.108032,-101.103682,179.489905
1.108801,-101.091641,179.489552
1.109569,-101.079600,179.489198
1.110339,-101.067559,179.488843
1.111109,-101.055518,179.488489
1.111879,-101.043478,179.488134
1.112650,-101.031437,179.487779
1.113422,-101.019396,179.487424
1.114194,-101.007355,179.487069
1.114966,-100.995314,179.486713
1.115739,-100.983274,179.486357
1.116513,-100.971233,179.486001
1.117287,-100.959192,179.485645
1.118062,-100.947151,179.485288
1.118837,-100.935110,179.484931
1.119613,-100.923069,179.484574
1.120389,-100.911029,179.484217
1.121166,-100.898988,179.483859
1.121943,-100.886947,179.483501
1.122721,-100.874906,179.483143
1.123500,-100.862865,179.482785
1.124279,-100.850825,179.482426
1.125058,-100.838784,179.482067
1.125839,-100.826743,179.481708
1.126619,-100.814702,179.481349
1.127400,-100.802661,179.480989
1.128182,-100.790620,179.480629
1.128964,-100.778580,179.480269
1.129747,-100.766539,179.479909
1.130531,-100.754498,179.479548
1.131314,-100.742457,179.479187
1.132099,-100.730416,179.478826
1.132884,-100.718376,179.478465
1.133669,-100.706335,179.478103
1.134455,-100.694294,179.477741
1.135242,-100.682253,179.477379
1.136029,-100.670212,179.477017
1.136817,-100.658171,179.476654
1.137605,-100.646131,179.476292
1.138394,-100.634090,179.475928
1.139183,-100.622049,179.475565
1.139973,-100.610008,179.475201
1.140764,-100.597967,179.474838
1.141555,-100.585927,179.474473
1.142346,-100.573886,179.474109
1.143138,-100.561845,179.473744
1.143931,-100.549804,179.473379
1.144724,-100.537763,179.473014
1.145518,-100.525723,179.472649
1.146312,-100.513682,179.472283
1.147107,-100.501641,179.471917
1.147902,-100.489600,179.471551
1.148698,-100.477559,179.471185
1.149495,-100.465519,179.470818
1.150292,-100.453478,179.470451
1.151089,-100.441437,179.470084
1.151888,-100.429396,179.469717
1.152686,-100.417355,179.469349
1.153486,-100.405315,179.468981
1.154285,-100.393274,179.468613
1.155086,-100.381233,179.468244
1.155887,-100.369192,179.467876
1.156688,-100.357151,179.467507
1.157490,-100.345111,179.467138
1.158293,-100.333070,179.466768
1.159096,-100.321029,179.466398
1.159900,-100.308988,179.466028
1.160704,-100.296947,179.465658
1.161509,-100.284907,179.465288
1.162314,-100.272866,179.464917
1.163120,-100.260825,179.464546
1.163927,-100.248784,179.464175
1.164734,-100.236744,179.463803
1.165541,-100.224703,179.463431
1.166349,-100.212662,179.463059
1.167158,-100.200621,179.462687
1.167967,-100.188580,179.462315
1.168777,-100.176540,179.461942
1.169588,-100.164499,179.461569
1.170399,-100.152458,179.461195
1.171210,-100.140417,179.460822
1.172022,-100.128376,179.460448
1.172835,-100.116336,179.460074
1.173648,-100.104295,179.459699
1.174462,-100.092254,179.459325
1.175276,-100.080213,179.458950
1.176091,-100.068173,179.458575
1.176907,-100.056132,179.458199
1.177723,-100.044091,179.457824
1.178539,-100.032050,179.457448
1.179357,-100.020009,179.457072
1.180174,-100.007969,179.456695
1.180993,-99.995928,179.456318
1.181812,-99.983887,179.455941
1.182631,-99.971846,179.455564
