frequency_hz,magnitude_db,phase_degrees
1.000000,-0.000004,-0.057296
1.000693,-0.000004,-0.057335
1.001387,-0.000004,-0.057375
1.002082,-0.000004,-0.057415
1.002776,-0.000004,-0.057455
1.003472,-0.000004,-0.057495
1.004168,-0.000004,-0.057535
1.004864,-0.000004,-0.057574
1.005561,-0.000004,-0.057614
1.006258,-0.000004,-0.057654
1.006956,-0.000004,-0.057694
1.007654,-0.000004,-0.057734
1.008352,-0.000004,-0.057774
1.009052,-0.000004,-0.057814
1.009751,-0.000004,-0.057854
1.010451,-0.000004,-0.057895
1.011152,-0.000004,-0.057935
1.011853,-0.000004,-0.057975
1.012555,-0.000004,-0.058015
1.013257,-0.000004,-0.058055
1.013959,-0.000004,-0.058096
1.014663,-0.000004,-0.058136
1.015366,-0.000004,-0.058176
1.016070,-0.000005,-0.058217
1.016775,-0.000005,-0.058257
1.017480,-0.000005,-0.058297
1.018185,-0.000005,-0.058338
1.018891,-0.000005,-0.058378
1.019598,-0.000005,-0.058419
1.020305,-0.000005,-0.058459
1.021012,-0.000005,-0.058500
1.021720,-0.000005,-0.058540
1.022429,-0.000005,-0.058581
1.023137,-0.000005,-0.058621
1.023847,-0.000005,-0.058662
1.024557,-0.000005,-0.058703
1.025267,-0.000005,-0.058743
1.025978,-0.000005,-0.058784
1.026690,-0.000005,-0.058825
1.027401,-0.000005,-0.058866
1.028114,-0.000005,-0.058907
1.028827,-0.000005,-0.058947
1.029540,-0.000005,-0.058988
1.030254,-0.000005,-0.059029
1.030968,-0.000005,-0.059070
1.031683,-0.000005,-0.059111
1.032399,-0.000005,-0.059152
1.033114,-0.000005,-0.059193
1.033831,-0.000005,-0.059234
1.034548,-0.000005,-0.059275
1.035265,-0.000005,-0.059316
1.035983,-0.000005,-0.059357
1.036701,-0.000005,-0.059399
1.037420,-0.000005,-0.059440
1.038139,-0.000005,-0.059481
1.038859,-0.000005,-0.059522
1.039579,-0.000005,-0.059563
1.040300,-0.000005,-0.059605
1.041022,-0.000005,-0.059646
