frequency_hz,magnitude_db,phase_degrees
0.000000,-198.798943,180.000000
2.929688,-87.676404,179.263378
5.859375,-75.635828,178.526777
8.789062,-68.593191,177.790218
11.718750,-63.597056,177.053722
14.648438,-59.722473,176.317309
17.578125,-56.557443,175.581001
20.507812,-53.882195,174.844819
23.437500,-51.565543,174.108782
26.367188,-49.522871,173.372913
29.296875,-47.696403,172.637232
32.226562,-46.044928,171.901759
35.156250,-44.538020,171.166516
38.085938,-43.152571,170.431522
41.015625,-41.870620,169.696800
43.945312,-40.677927,168.962368
46.875000,-39.563013,168.228248
49.804688,-38.516490,167.494459
52.734375,-37.530579,166.761023
55.664062,-36.598765,166.027960
58.593750,-35.715536,165.295289
61.523438,-34.876187,164.563032
64.453125,-34.076670,163.831207
67.382812,-33.313476,163.099835
70.312500,-32.583546,162.368935
73.242188,-31.884194,161.638529
76.171875,-31.213051,160.908634
79.101562,-30.568016,160.179271
82.031250,-29.947217,159.450459
84.960938,-29.348978,158.722217
87.890625,-28.771796,157.994565
90.820312,-28.214313,157.267522
93.750000,-27.675301,156.541106
96.679688,-27.153647,155.815337
99.609375,-26.648335,155.090233
102.539062,-26.158440,154.365813
105.468750,-25.683111,153.642095
108.398438,-25.221571,152.919097
111.328125,-24.773104,152.196839
114.257812,-24.337047,151.475337
117.187500,-23.912791,150.754610
120.117188,-23.499769,150.034675
123.046875,-23.097457,149.315551
125.976562,-22.705367,148.597254
128.906250,-22.323043,147.879801
131.835938,-21.950063,147.163210
134.765625,-21.586031,146.447498
137.695312,-21.230574,145.732682
140.625000,-20.883347,145.018777
143.554688,-20.544022,144.305802
146.484375,-20.212294,143.593771
149.414062,-19.887875,142.882701
152.343750,-19.570492,142.172608
155.273438,-19.259889,141.463507
158.203125,-18.955825,140.755415
161.132812,-18.658071,140.048346
164.062500,-18.366409,139.342317
166.992188,-18.080636,138.637341
169.921875,-17.800556,137.933433
172.851562,-17.525984,137.230610
175.781250,-17.256746,136.528883
178.710938,-16.992674,135.828269
181.640625,-16.733609,135.128781
184.570312,-16.479401,134.430434
187.500000,-16.229904,133.733240
190.429688,-15.984981,133.037213
193.359375,-15.744500,132.342366
196.289062,-15.508337,131.648714
199.218750,-15.276370,130.956268
202.148438,-15.048484,130.265041
205.078125,-14.824570,129.575047
208.007812,-14.604522,128.886296
210.937500,-14.388238,128.198802
213.867188,-14.175621,127.512576
216.796875,-13.966579,126.827630
219.726562,-13.761021,126.143976
222.656250,-13.558861,125.461624
225.585938,-13.360016,124.780587
228.515625,-13.164408,124.100874
231.445312,-12.971957,123.422497
234.375000,-12.782592,122.745467
237.304688,-12.596240,122.069793
240.234375,-12.412833,121.395485
243.164062,-12.232304,120.722555
246.093750,-12.054589,120.051010
249.023438,-11.879626,119.380862
251.953125,-11.707356,118.712119
254.882812,-11.537720,118.044791
257.812500,-11.370664,117.378886
260.742188,-11.206131,116.714413
263.671875,-11.044071,116.051381
266.601562,-10.884433,115.389798
269.531250,-10.727167,114.729673
272.460938,-10.572226,114.071013
275.390625,-10.419563,113.413826
278.320312,-10.269135,112.758119
281.250000,-10.120897,112.103901
284.179688,-9.974807,111.451179
287.109375,-9.830825,110.799958
290.039062,-9.688911,110.150247
292.968750,-9.549025,109.502053
295.898438,-9.411131,108.855380
298.828125,-9.275193,108.210237
301.757812,-9.141173,107.566628
304.687500,-9.009039,106.924560
307.617188,-8.878757,106.284039
310.546875,-8.750293,105.645070
313.476562,-8.623616,105.007659
316.406250,-8.498695,104.371810
319.335938,-8.375500,103.737530
322.265625,-8.254002,103.104822
325.195312,-8.134171,102.473692
328.125000,-8.015979,101.844144
331.054688,-7.899400,101.216183
333.984375,-7.784407,100.589812
336.914062,-7.670973,99.965037
339.843750,-7.559074,99.341860
342.773438,-7.448685,98.720285
345.703125,-7.339781,98.100317
348.632812,-7.232340,97.481958
351.562500,-7.126337,96.865212
354.492188,-7.021750,96.250081
357.421875,-6.918558,95.636570
360.351562,-6.816738,95.024680
363.281250,-6.716270,94.414414
366.210938,-6.617134,93.805775
369.140625,-6.519308,93.198766
372.070312,-6.422774,92.593387
375.000000,-6.327511,91.989643
377.929688,-6.233502,91.387533
380.859375,-6.140728,90.787061
383.789062,-6.049170,90.188228
386.718750,-5.958811,89.591036
389.648438,-5.869633,88.995485
392.578125,-5.781620,88.401577
395.507812,-5.694755,87.809314
398.437500,-5.609022,87.218696
401.367188,-5.524404,86.629724
404.296875,-5.440886,86.042400
407.226562,-5.358452,85.456722
410.156250,-5.277088,84.872693
413.085938,-5.196778,84.290313
416.015625,-5.117509,83.709581
418.945312,-5.039265,83.130498
421.875000,-4.962034,82.553065
424.804688,-4.885800,81.977280
427.734375,-4.810551,81.403145
430.664062,-4.736274,80.830658
433.593750,-4.662956,80.259819
436.523438,-4.590583,79.690628
439.453125,-4.519144,79.123084
442.382812,-4.448626,78.557186
445.312500,-4.379017,77.992935
448.242188,-4.310305,77.430328
451.171875,-4.242479,76.869365
454.101562,-4.175527,76.310045
457.031250,-4.109438,75.752366
459.960938,-4.044200,75.196328
462.890625,-3.979804,74.641929
465.820312,-3.916238,74.089168
468.750000,-3.853492,73.538043
471.679688,-3.791555,72.988552
474.609375,-3.730418,72.440694
477.539062,-3.670070,71.894468
480.468750,-3.610502,71.349870
483.398438,-3.551703,70.806900
486.328125,-3.493665,70.265555
489.257812,-3.436379,69.725834
492.187500,-3.379834,69.187734
495.117188,-3.324022,68.651252
498.046875,-3.268934,68.116388
500.976562,-3.214561,67.583137
503.906250,-3.160894,67.051499
506.835938,-3.107926,66.521470
509.765625,-3.055648,65.993047
512.695312,-3.004050,65.466230
515.625000,-2.953127,64.941013
518.554688,-2.902869,64.417396
521.484375,-2.853268,63.895374
524.414062,-2.804317,63.374946
527.343750,-2.756008,62.856108
530.273438,-2.708334,62.338857
533.203125,-2.661287,61.823191
536.132812,-2.614860,61.309106
539.062500,-2.569046,60.796599
541.992188,-2.523838,60.285667
544.921875,-2.479228,59.776307
547.851562,-2.435211,59.268515
550.781250,-2.391778,58.762289
553.710938,-2.348924,58.257624
556.640625,-2.306641,57.754518
559.570312,-2.264925,57.252967
562.500000,-2.223767,56.752967
565.429688,-2.183161,56.254515
568.359375,-2.143103,55.757608
571.289062,-2.103584,55.262241
574.218750,-2.064600,54.768412
577.148438,-2.026144,54.276116
580.078125,-1.988211,53.785351
583.007812,-1.950794,53.296111
585.937500,-1.913889,52.808393
588.867188,-1.877488,52.322194
591.796875,-1.841588,51.837510
594.726562,-1.806182,51.354336
597.656250,-1.771264,50.872669
600.585938,-1.736830,50.392506
603.515625,-1.702875,49.913841
606.445312,-1.669393,49.436671
609.375000,-1.636378,48.960993
612.304688,-1.603827,48.486801
615.234375,-1.571733,48.014092
618.164062,-1.540092,47.542863
621.093750,-1.508900,47.073108
624.023438,-1.478151,46.604823
626.953125,-1.447840,46.138006
629.882812,-1.417964,45.672650
632.812500,-1.388516,45.208753
635.742188,-1.359494,44.746310
638.671875,-1.330892,44.285317
641.601562,-1.302705,43.825769
644.531250,-1.274931,43.367663
647.460938,-1.247563,42.910993
650.390625,-1.220598,42.455757
653.320312,-1.194032,42.001949
656.250000,-1.167860,41.549565
659.179688,-1.142079,41.098601
662.109375,-1.116684,40.649053
665.039062,-1.091672,40.200916
667.968750,-1.067037,39.754186
670.898438,-1.042778,39.308859
673.828125,-1.018889,38.864930
676.757812,-0.995366,38.422394
