frequency_hz,magnitude_db,phase_degrees
0.000000,0.000000,0.000000
2.929688,-0.000031,-0.216173
5.859375,-0.000124,-0.432345
8.789062,-0.000278,-0.648514
11.718750,-0.000495,-0.864678
14.648438,-0.000773,-1.080836
17.578125,-0.001113,-1.296986
20.507812,-0.001515,-1.513128
23.437500,-0.001978,-1.729258
26.367188,-0.002503,-1.945377
29.296875,-0.003091,-2.161481
32.226562,-0.003739,-2.377571
35.156250,-0.004450,-2.593644
38.085938,-0.005222,-2.809698
41.015625,-0.006056,-3.025733
43.945312,-0.006952,-3.241746
46.875000,-0.007910,-3.457737
49.804688,-0.008929,-3.673704
52.734375,-0.010009,-3.889644
55.664062,-0.011152,-4.105557
58.593750,-0.012356,-4.321442
61.523438,-0.013621,-4.537296
64.453125,-0.014948,-4.753118
67.382812,-0.016337,-4.968906
70.312500,-0.017787,-5.184660
73.242188,-0.019298,-5.400378
76.171875,-0.020871,-5.616057
79.101562,-0.022505,-5.831697
82.031250,-0.024201,-6.047296
84.960938,-0.025958,-6.262853
87.890625,-0.027776,-6.478366
90.820312,-0.029656,-6.693834
93.750000,-0.031596,-6.909254
96.679688,-0.033598,-7.124626
99.609375,-0.035661,-7.339949
102.539062,-0.037785,-7.555220
105.468750,-0.039970,-7.770438
108.398438,-0.042216,-7.985602
111.328125,-0.044523,-8.200710
114.257812,-0.046891,-8.415761
117.187500,-0.049319,-8.630753
120.117188,-0.051809,-8.845685
123.046875,-0.054359,-9.060555
125.976562,-0.056970,-9.275362
128.906250,-0.059641,-9.490104
131.835938,-0.062374,-9.704780
134.765625,-0.065166,-9.919389
137.695312,-0.068019,-10.133929
140.625000,-0.070933,-10.348398
143.554688,-0.073907,-10.562795
146.484375,-0.076941,-10.777119
149.414062,-0.080035,-10.991368
152.343750,-0.083189,-11.205541
155.273438,-0.086404,-11.419636
158.203125,-0.089679,-11.633652
161.132812,-0.093013,-11.847588
164.062500,-0.096408,-12.061441
166.992188,-0.099862,-12.275211
169.921875,-0.103376,-12.488897
172.851562,-0.106949,-12.702496
175.781250,-0.110583,-12.916007
178.710938,-0.114276,-13.129429
181.640625,-0.118028,-13.342761
184.570312,-0.121839,-13.556001
187.500000,-0.125710,-13.769148
190.429688,-0.129640,-13.982199
193.359375,-0.133630,-14.195155
196.289062,-0.137678,-14.408014
199.218750,-0.141785,-14.620773
202.148438,-0.145952,-14.833432
205.078125,-0.150177,-15.045990
208.007812,-0.154460,-15.258444
