Freq.	V(n003)
1.00000000000000e+00	(-4.00005384917637e+01dB,8.93124767707535e+01°)
1.00069338746258e+00	(-3.99945186388311e+01dB,8.93120000870306e+01°)
1.00138725571133e+00	(-3.99884987869345e+01dB,8.93115230728566e+01°)
1.00208160507963e+00	(-3.99824789360756e+01dB,8.93110457280026e+01°)
1.00277643590108e+00	(-3.99764590862556e+01dB,8.93105680522394e+01°)
1.00347174850950e+00	(-3.99704392374761e+01dB,8.93100900453378e+01°)
1.00416754323897e+00	(-3.99644193897384e+01dB,8.93096117070684e+01°)
1.00486382042379e+00	(-3.99583995430441e+01dB,8.93091330372014e+01°)
1.00556058039847e+00	(-3.99523796973946e+01dB,8.93086540355072e+01°)
1.00625782349778e+00	(-3.99463598527913e+01dB,8.93081747017558e+01°)
1.00695555005672e+00	(-3.99403400092356e+01dB,8.93076950357171e+01°)
1.00765376041051e+00	(-3.99343201667291e+01dB,8.93072150371610e+01°)
1.00835245489460e+00	(-3.99283003252732e+01dB,8.93067347058569e+01°)
1.00905163384468e+00	(-3.99222804848694e+01dB,8.93062540415743e+01°)
1.00975129759669e+00	(-3.99162606455190e+01dB,8.93057730440825e+01°)
1.01045144648677e+00	(-3.99102408072236e+01dB,8.93052917131507e+01°)
1.01115208085131e+00	(-3.99042209699846e+01dB,8.93048100485477e+01°)
1.01185320102693e+00	(-3.98982011338035e+01dB,8.93043280500424e+01°)
1.01255480735049e+00	(-3.98921812986818e+01dB,8.93038457174034e+01°)
1.01325690015909e+00	(-3.98861614646209e+01dB,8.93033630503993e+01°)
1.01395947979003e+00	(-3.98801416316223e+01dB,8.93028800487982e+01°)
1.01466254658088e+00	(-3.98741217996875e+01dB,8.93023967123684e+01°)
1.01536610086943e+00	(-3.98681019688179e+01dB,8.93019130408778e+01°)
1.01607014299370e+00	(-3.98620821390151e+01dB,8.93014290340944e+01°)
1.01677467329196e+00	(-3.98560623102804e+01dB,8.93009446917857e+01°)
1.01747969210269e+00	(-3.98500424826155e+01dB,8.93004600137193e+01°)
1.01818519976462e+00	(-3.98440226560217e+01dB,8.92999749996626e+01°)
1.01889119661673e+00	(-3.98380028305005e+01dB,8.92994896493827e+01°)
1.01959768299819e+00	(-3.98319830060535e+01dB,8.92990039626467e+01°)
1.02030465924846e+00	(-3.98259631826822e+01dB,8.92985179392215e+01°)
1.02101212570720e+00	(-3.98199433603880e+01dB,8.92980315788736e+01°)
1.02172008271430e+00	(-3.98139235391723e+01dB,8.92975448813698e+01°)
1.02242853060993e+00	(-3.98079037190368e+01dB,8.92970578464764e+01°)
1.02313746973444e+00	(-3.98018838999830e+01dB,8.92965704739596e+01°)
1.02384690042845e+00	(-3.97958640820122e+01dB,8.92960827635855e+01°)
1.02455682303281e+00	(-3.97898442651260e+01dB,8.92955947151200e+01°)
1.02526723788860e+00	(-3.97838244493260e+01dB,8.92951063283288e+01°)
1.02597814533714e+00	(-3.97778046346136e+01dB,8.92946176029775e+01°)
1.02668954572000e+00	(-3.97717848209903e+01dB,8.92941285388315e+01°)
1.02740143937897e+00	(-3.97657650084577e+01dB,8.92936391356561e+01°)
1.02811382665607e+00	(-3.97597451970172e+01dB,8.92931493932163e+01°)
1.02882670789358e+00	(-3.97537253866704e+01dB,8.92926593112771e+01°)
1.02954008343400e+00	(-3.97477055774188e+01dB,8.92921688896033e+01°)
1.03025395362008e+00	(-3.97416857692638e+01dB,8.92916781279594e+01°)
1.03096831879479e+00	(-3.97356659622072e+01dB,8.92911870261100e+01°)
1.03168317930136e+00	(-3.97296461562502e+01dB,8.92906955838192e+01°)
1.03239853548325e+00	(-3.97236263513946e+01dB,8.92902038008512e+01°)
1.03311438768414e+00	(-3.97176065476417e+01dB,8.92897116769699e+01°)
1.03383073624797e+00	(-3.97115867449932e+01dB,8.92892192119391e+01°)
