Freq.	V(n003)
1.00000000000000e+00	(-1.02885729714294e+02dB,1.79539637578410e+02°)
1.00069338746258e+00	(-1.02873688816979e+02dB,1.79539318378047e+02°)
1.00138725571133e+00	(-1.02861647920084e+02dB,1.79538998956373e+02°)
1.00208160507963e+00	(-1.02849607023609e+02dB,1.79538679313236e+02°)
1.00277643590108e+00	(-1.02837566127555e+02dB,1.79538359448481e+02°)
1.00347174850950e+00	(-1.02825525231923e+02dB,1.79538039361955e+02°)
1.00416754323897e+00	(-1.02813484336712e+02dB,1.79537719053505e+02°)
1.00486382042379e+00	(-1.02801443441924e+02dB,1.79537398522976e+02°)
1.00556058039847e+00	(-1.02789402547559e+02dB,1.79537077770214e+02°)
1.00625782349778e+00	(-1.02777361653617e+02dB,1.79536756795066e+02°)
1.00695555005672e+00	(-1.02765320760100e+02dB,1.79536435597378e+02°)
1.00765376041051e+00	(-1.02753279867008e+02dB,1.79536114176994e+02°)
1.00835245489460e+00	(-1.02741238974342e+02dB,1.79535792533760e+02°)
1.00905163384468e+00	(-1.02729198082101e+02dB,1.79535470667523e+02°)
1.00975129759669e+00	(-1.02717157190288e+02dB,1.79535148578128e+02°)
1.01045144648677e+00	(-1.02705116298901e+02dB,1.79534826265419e+02°)
1.01115208085131e+00	(-1.02693075407943e+02dB,1.79534503729242e+02°)
1.01185320102693e+00	(-1.02681034517412e+02dB,1.79534180969443e+02°)
1.01255480735049e+00	(-1.02668993627311e+02dB,1.79533857985866e+02°)
1.01325690015909e+00	(-1.02656952737640e+02dB,1.79533534778355e+02°)
1.01395947979003e+00	(-1.02644911848399e+02dB,1.79533211346757e+02°)
1.01466254658088e+00	(-1.02632870959588e+02dB,1.79532887690915e+02°)
1.01536610086943e+00	(-1.02620830071209e+02dB,1.79532563810673e+02°)
1.01607014299370e+00	(-1.02608789183262e+02dB,1.79532239705878e+02°)
1.01677467329196e+00	(-1.02596748295748e+02dB,1.79531915376372e+02°)
1.01747969210269e+00	(-1.02584707408667e+02dB,1.79531590822000e+02°)
