Freq.	V(n003)
1.00000000000000e+00	(-4.27210162330847e-06dB,-6.43269541076432e-02°)
1.00069338746258e+00	(-4.27800821391607e-06dB,-6.43715575861137e-02°)
1.00138725571133e+00	(-4.28392300227953e-06dB,-6.44161919920249e-02°)
1.00208160507963e+00	(-4.28984599032751e-06dB,-6.44608573468214e-02°)
1.00277643590108e+00	(-4.29577719638226e-06dB,-6.45055536719626e-02°)
1.00347174850950e+00	(-4.30171663394440e-06dB,-6.45502809889229e-02°)
1.00416754323897e+00	(-4.30766430783557e-06dB,-6.45950393191915e-02°)
1.00486382042379e+00	(-4.31362023348504e-06dB,-6.46398286842726e-02°)
1.00556058039847e+00	(-4.31958442150044e-06dB,-6.46846491056851e-02°)
1.00625782349778e+00	(-4.32555688056074e-06dB,-6.47295006049632e-02°)
1.00695555005672e+00	(-4.33153762995251e-06dB,-6.47743832036555e-02°)
1.00765376041051e+00	(-4.33752667642606e-06dB,-6.48192969233259e-02°)
1.00835245489460e+00	(-4.34352402673170e-06dB,-6.48642417855533e-02°)
1.00905163384468e+00	(-4.34952970015602e-06dB,-6.49092178119315e-02°)
1.00975129759669e+00	(-4.35554370152067e-06dB,-6.49542250240691e-02°)
1.01045144648677e+00	(-4.36156604914790e-06dB,-6.49992634435897e-02°)
1.01115208085131e+00	(-4.36759675171667e-06dB,-6.50443330921323e-02°)
1.01185320102693e+00	(-4.37363581597731e-06dB,-6.50894339913503e-02°)
1.01255480735049e+00	(-4.37968326507369e-06dB,-6.51345661629126e-02°)
1.01325690015909e+00	(-4.38573909900584e-06dB,-6.51797296285029e-02°)
1.01395947979003e+00	(-4.39180333127436e-06dB,-6.52249244098199e-02°)
1.01466254658088e+00	(-4.39787598116584e-06dB,-6.52701505285774e-02°)
1.01536610086943e+00	(-4.40395705157327e-06dB,-6.53154080065045e-02°)
1.01607014299370e+00	(-4.41004655985457e-06dB,-6.53606968653449e-02°)
1.01677467329196e+00	(-4.41614451468871e-06dB,-6.54060171268577e-02°)
1.01747969210269e+00	(-4.42225093054064e-06dB,-6.54513688128171e-02°)
1.01818519976462e+00	(-4.42836582091095e-06dB,-6.54967519450121e-02°)
1.01889119661673e+00	(-4.43448918676400e-06dB,-6.55421665452472e-02°)
1.01959768299819e+00	(-4.44062105124368e-06dB,-6.55876126353418e-02°)
1.02030465924846e+00	(-4.44676142302895e-06dB,-6.56330902371303e-02°)
1.02101212570720e+00	(-4.45291031272744e-06dB,-6.56785993724626e-02°)
1.02172008271430e+00	(-4.45906772998244e-06dB,-6.57241400632035e-02°)
1.02242853060993e+00	(-4.46523368829458e-06dB,-6.57697123312329e-02°)
1.02313746973444e+00	(-4.47140820405743e-06dB,-6.58153161984461e-02°)
1.02384690042845e+00	(-4.47759128112833e-06dB,-6.58609516867534e-02°)
1.02455682303281e+00	(-4.48378294168685e-06dB,-6.59066188180804e-02°)
1.02526723788860e+00	(-4.48998318766165e-06dB,-6.59523176143678e-02°)
1.02597814533714e+00	(-4.49619203737499e-06dB,-6.59980480975716e-02°)
1.02668954572000e+00	(-4.50240949757718e-06dB,-6.60438102896630e-02°)
1.02740143937897e+00	(-4.50863558466182e-06dB,-6.60896042126284e-02°)
1.02811382665607e+00	(-4.51487030923652e-06dB,-6.61354298884696e-02°)
1.02882670789358e+00	(-4.52111368480191e-06dB,-6.61812873392033e-02°)
1.02954008343400e+00	(-4.52736571714396e-06dB,-6.62271765868619e-02°)
1.03025395362008e+00	(-4.53362642265627e-06dB,-6.62730976534927e-02°)
1.03096831879479e+00	(-4.53989581483946e-06dB,-6.63190505611587e-02°)
1.03168317930136e+00	(-4.54617390719412e-06dB,-6.63650353319376e-02°)
1.03239853548325e+00	(-4.55246070550626e-06dB,-6.64110519879232e-02°)
1.03311438768414e+00	(-4.55875622713379e-06dB,-6.64571005512238e-02°)
1.03383073624797e+00	(-4.56506047689836e-06dB,-6.65031810439636e-02°)
1.03454758151891e+00	(-4.57137348276552e-06dB,-6.65492934882819e-02°)
1.03526492384138e+00	(-4.57769523316334e-06dB,-6.65954379063335e-02°)
1.03598276356002e+00	(-4.58402576280765e-06dB,-6.66416143202884e-02°)
1.03670110101973e+00	(-4.59036507362713e-06dB,-6.66878227523319e-02°)
1.03741993656562e+00	(-4.59671317719373e-06dB,-6.67340632246650e-02°)
1.03813927054306e+00	(-4.60307008700805e-06dB,-6.67803357595039e-02°)
1.03885910329767e+00	(-4.60943581464207e-06dB,-6.68266403790802e-02°)
1.03957943517528e+00	(-4.61581037456070e-06dB,-6.68729771056409e-02°)
1.04030026652199e+00	(-4.62219377833592e-06dB,-6.69193459614485e-02°)
1.04102159768412e+00	(-4.62858603368236e-06dB,-6.69657469687808e-02°)
1.04174342900823e+00	(-4.63498715988661e-06dB,-6.70121801499313e-02°)
1.04246576084113e+00	(-4.64139716659196e-06dB,-6.70586455272086e-02°)
1.04318859352987e+00	(-4.64781606633469e-06dB,-6.71051431229372e-02°)
1.04391192742173e+00	(-4.65424386779378e-06dB,-6.71516729594567e-02°)
1.04463576286424e+00	(-4.66068058350551e-06dB,-6.71982350591224e-02°)
1.04536010020517e+00	(-4.66712623757810e-06dB,-6.72448294443049e-02°)
1.04608493979254e+00	(-4.67358082711859e-06dB,-6.72914561373906e-02°)
1.04681028197458e+00	(-4.68004437334220e-06dB,-6.73381151607812e-02°)
1.04753612709981e+00	(-4.68651688299927e-06dB,-6.73848065368941e-02°)
1.04826247551694e+00	(-4.69299837344771e-06dB,-6.74315302881621e-02°)
1.04898932757495e+00	(-4.69948885336649e-06dB,-6.74782864370335e-02°)
1.04971668362308e+00	(-4.70598834204220e-06dB,-6.75250750059724e-02°)
1.05044454401076e+00	(-4.71249684140350e-06dB,-6.75718960174583e-02°)
1.05117290908771e+00	(-4.71901437459430e-06dB,-6.76187494939863e-02°)
1.05190177920388e+00	(-4.72554094932923e-06dB,-6.76656354580671e-02°)
1.05263115470945e+00	(-4.73207657428727e-06dB,-6.77125539322271e-02°)
1.05336103595484e+00	(-4.73862127068365e-06dB,-6.77595049390083e-02°)
1.05409142329075e+00	(-4.74517503755407e-06dB,-6.78064885009682e-02°)
1.05482231706807e+00	(-4.75173790189974e-06dB,-6.78535046406801e-02°)
1.05555371763798e+00	(-4.75830987143529e-06dB,-6.79005533807328e-02°)
1.05628562535187e+00	(-4.76489095773268e-06dB,-6.79476347437308e-02°)
1.05701804056139e+00	(-4.77148117332820e-06dB,-6.79947487522945e-02°)
1.05775096361844e+00	(-4.77808053075813e-06dB,-6.80418954290596e-02°)
1.05848439487514e+00	(-4.78468904641607e-06dB,-6.80890747966778e-02°)
1.05921833468389e+00	(-4.79130672223069e-06dB,-6.81362868778164e-02°)
1.05995278339729e+00	(-4.79793358713186e-06dB,-6.81835316951584e-02°)
1.06068774136823e+00	(-4.80456963919095e-06dB,-6.82308092714025e-02°)
1.06142320894980e+00	(-4.81121490058751e-06dB,-6.82781196292633e-02°)
1.06215918649538e+00	(-4.81786938096485e-06dB,-6.83254627914709e-02°)
1.06289567435856e+00	(-4.82453308996626e-06dB,-6.83728387807713e-02°)
1.06363267289319e+00	(-4.83120604109237e-06dB,-6.84202476199263e-02°)
1.06437018245337e+00	(-4.83788825170110e-06dB,-6.84676893317136e-02°)
1.06510820339343e+00	(-4.84457973336440e-06dB,-6.85151639389263e-02°)
1.06584673606795e+00	(-4.85128049765424e-06dB,-6.85626714643737e-02°)
1.06658578083178e+00	(-4.85799055614256e-06dB,-6.86102119308807e-02°)
1.06732533803997e+00	(-4.86470992425865e-06dB,-6.86577853612881e-02°)
1.06806540804786e+00	(-4.87143861453878e-06dB,-6.87053917784524e-02°)
1.06880599121102e+00	(-4.87817663951924e-06dB,-6.87530312052463e-02°)
1.06954708788526e+00	(-4.88492400980766e-06dB,-6.88007036645580e-02°)
1.07028869842664e+00	(-4.89168074276197e-06dB,-6.88484091792918e-02°)
1.07103082319147e+00	(-4.89844684513249e-06dB,-6.88961477723676e-02°)
1.07177346253630e+00	(-4.90522233813445e-06dB,-6.89439194667215e-02°)
1.07251661681795e+00	(-4.91200722562518e-06dB,-6.89917242853054e-02°)
1.07326028639347e+00	(-4.91880152785561e-06dB,-6.90395622510870e-02°)
1.07400447162014e+00	(-4.92560525832633e-06dB,-6.90874333870502e-02°)
1.07474917285551e+00	(-4.93241842668066e-06dB,-6.91353377161944e-02°)
1.07549439045739e+00	(-4.93924104256189e-06dB,-6.91832752615353e-02°)
