Freq.	V(n005)
1.00000000000000e+00	(-6.29074535611751e+01dB,1.75295746915521e+02°)
1.00069338746258e+00	(-6.28954427263934e+01dB,1.75292494248055e+02°)
1.00138725571133e+00	(-6.28834319335328e+01dB,1.75289239344311e+02°)
1.00208160507963e+00	(-6.28714211826509e+01dB,1.75285982202778e+02°)
1.00277643590108e+00	(-6.28594104738053e+01dB,1.75282722821943e+02°)
1.00347174850950e+00	(-6.28473998070538e+01dB,1.75279461200295e+02°)
1.00416754323897e+00	(-6.28353891824542e+01dB,1.75276197336318e+02°)
1.00486382042379e+00	(-6.28233786000644e+01dB,1.75272931228497e+02°)
1.00556058039847e+00	(-6.28113680599424e+01dB,1.75269662875317e+02°)
1.00625782349778e+00	(-6.27993575621462e+01dB,1.75266392275261e+02°)
1.00695555005672e+00	(-6.27873471067341e+01dB,1.75263119426811e+02°)
1.00765376041051e+00	(-6.27753366937643e+01dB,1.75259844328448e+02°)
1.00835245489460e+00	(-6.27633263232949e+01dB,1.75256566978652e+02°)
1.00905163384468e+00	(-6.27513159953846e+01dB,1.75253287375901e+02°)
1.00975129759669e+00	(-6.27393057100915e+01dB,1.75250005518676e+02°)
1.01045144648677e+00	(-6.27272954674745e+01dB,1.75246721405451e+02°)
1.01115208085131e+00	(-6.27152852675919e+01dB,1.75243435034705e+02°)
1.01185320102693e+00	(-6.27032751105027e+01dB,1.75240146404912e+02°)
1.01255480735049e+00	(-6.26912649962654e+01dB,1.75236855514546e+02°)
1.01325690015909e+00	(-6.26792549249391e+01dB,1.75233562362081e+02°)
1.01395947979003e+00	(-6.26672448965826e+01dB,1.75230266945989e+02°)
1.01466254658088e+00	(-6.26552349112549e+01dB,1.75226969264741e+02°)
1.01536610086943e+00	(-6.26432249690152e+01dB,1.75223669316809e+02°)
1.01607014299370e+00	(-6.26312150699226e+01dB,1.75220367100660e+02°)
1.01677467329196e+00	(-6.26192052140365e+01dB,1.75217062614765e+02°)
1.01747969210269e+00	(-6.26071954014160e+01dB,1.75213755857589e+02°)
1.01818519976462e+00	(-6.25951856321208e+01dB,1.75210446827601e+02°)
1.01889119661673e+00	(-6.25831759062102e+01dB,1.75207135523264e+02°)
1.01959768299819e+00	(-6.25711662237438e+01dB,1.75203821943044e+02°)
1.02030465924846e+00	(-6.25591565847814e+01dB,1.75200506085405e+02°)
1.02101212570720e+00	(-6.25471469893827e+01dB,1.75197187948808e+02°)
1.02172008271430e+00	(-6.25351374376074e+01dB,1.75193867531716e+02°)
1.02242853060993e+00	(-6.25231279295156e+01dB,1.75190544832589e+02°)
1.02313746973444e+00	(-6.25111184651671e+01dB,1.75187219849887e+02°)
1.02384690042845e+00	(-6.24991090446221e+01dB,1.75183892582068e+02°)
1.02455682303281e+00	(-6.24870996679407e+01dB,1.75180563027590e+02°)
1.02526723788860e+00	(-6.24750903351832e+01dB,1.75177231184910e+02°)
1.02597814533714e+00	(-6.24630810464098e+01dB,1.75173897052483e+02°)
1.02668954572000e+00	(-6.24510718016811e+01dB,1.75170560628765e+02°)
1.02740143937897e+00	(-6.24390626010574e+01dB,1.75167221912208e+02°)
1.02811382665607e+00	(-6.24270534445992e+01dB,1.75163880901266e+02°)
1.02882670789358e+00	(-6.24150443323674e+01dB,1.75160537594391e+02°)
1.02954008343400e+00	(-6.24030352644226e+01dB,1.75157191990033e+02°)
1.03025395362008e+00	(-6.23910262408256e+01dB,1.75153844086641e+02°)
1.03096831879479e+00	(-6.23790172616372e+01dB,1.75150493882666e+02°)
1.03168317930136e+00	(-6.23670083269186e+01dB,1.75147141376554e+02°)
1.03239853548325e+00	(-6.23549994367307e+01dB,1.75143786566752e+02°)
1.03311438768414e+00	(-6.23429905911346e+01dB,1.75140429451707e+02°)
1.03383073624797e+00	(-6.23309817901917e+01dB,1.75137070029863e+02°)
1.03454758151891e+00	(-6.23189730339632e+01dB,1.75133708299665e+02°)
1.03526492384138e+00	(-6.23069643225104e+01dB,1.75130344259554e+02°)
1.03598276356002e+00	(-6.22949556558950e+01dB,1.75126977907972e+02°)
1.03670110101973e+00	(-6.22829470341784e+01dB,1.75123609243362e+02°)
1.03741993656562e+00	(-6.22709384574223e+01dB,1.75120238264162e+02°)
1.03813927054306e+00	(-6.22589299256884e+01dB,1.75116864968811e+02°)
1.03885910329767e+00	(-6.22469214390385e+01dB,1.75113489355748e+02°)
1.03957943517528e+00	(-6.22349129975345e+01dB,1.75110111423410e+02°)
1.04030026652199e+00	(-6.22229046012384e+01dB,1.75106731170232e+02°)
1.04102159768412e+00	(-6.22108962502123e+01dB,1.75103348594648e+02°)
1.04174342900823e+00	(-6.21988879445182e+01dB,1.75099963695094e+02°)
1.04246576084113e+00	(-6.21868796842185e+01dB,1.75096576470003e+02°)
1.04318859352987e+00	(-6.21748714693755e+01dB,1.75093186917805e+02°)
1.04391192742173e+00	(-6.21628633000515e+01dB,1.75089795036932e+02°)
1.04463576286424e+00	(-6.21508551763090e+01dB,1.75086400825815e+02°)
1.04536010020517e+00	(-6.21388470982106e+01dB,1.75083004282881e+02°)
1.04608493979254e+00	(-6.21268390658190e+01dB,1.75079605406559e+02°)
1.04681028197458e+00	(-6.21148310791969e+01dB,1.75076204195276e+02°)
1.04753612709981e+00	(-6.21028231384070e+01dB,1.75072800647459e+02°)
1.04826247551694e+00	(-6.20908152435125e+01dB,1.75069394761530e+02°)
1.04898932757495e+00	(-6.20788073945761e+01dB,1.75065986535916e+02°)
1.04971668362308e+00	(-6.20667995916611e+01dB,1.75062575969039e+02°)
1.05044454401076e+00	(-6.20547918348305e+01dB,1.75059163059320e+02°)
1.05117290908771e+00	(-6.20427841241477e+01dB,1.75055747805181e+02°)
1.05190177920388e+00	(-6.20307764596759e+01dB,1.75052330205042e+02°)
1.05263115470945e+00	(-6.20187688414786e+01dB,1.75048910257322e+02°)
1.05336103595484e+00	(-6.20067612696194e+01dB,1.75045487960438e+02°)
1.05409142329075e+00	(-6.19947537441617e+01dB,1.75042063312808e+02°)
1.05482231706807e+00	(-6.19827462651693e+01dB,1.75038636312848e+02°)
1.05555371763798e+00	(-6.19707388327060e+01dB,1.75035206958972e+02°)
1.05628562535187e+00	(-6.19587314468355e+01dB,1.75031775249595e+02°)
1.05701804056139e+00	(-6.19467241076220e+01dB,1.75028341183129e+02°)
1.05775096361844e+00	(-6.19347168151293e+01dB,1.75024904757987e+02°)
1.05848439487514e+00	(-6.19227095694216e+01dB,1.75021465972579e+02°)
1.05921833468389e+00	(-6.19107023705631e+01dB,1.75018024825315e+02°)
1.05995278339729e+00	(-6.18986952186181e+01dB,1.75014581314604e+02°)
1.06068774136823e+00	(-6.18866881136510e+01dB,1.75011135438855e+02°)
1.06142320894980e+00	(-6.18746810557262e+01dB,1.75007687196474e+02°)
1.06215918649538e+00	(-6.18626740449083e+01dB,1.75004236585866e+02°)
1.06289567435856e+00	(-6.18506670812619e+01dB,1.75000783605438e+02°)
1.06363267289319e+00	(-6.18386601648518e+01dB,1.74997328253592e+02°)
1.06437018245337e+00	(-6.18266532957428e+01dB,1.74993870528731e+02°)
1.06510820339343e+00	(-6.18146464739998e+01dB,1.74990410429259e+02°)
1.06584673606795e+00	(-6.18026396996877e+01dB,1.74986947953574e+02°)
1.06658578083178e+00	(-6.17906329728717e+01dB,1.74983483100078e+02°)
1.06732533803997e+00	(-6.17786262936169e+01dB,1.74980015867168e+02°)
1.06806540804786e+00	(-6.17666196619885e+01dB,1.74976546253244e+02°)
1.06880599121102e+00	(-6.17546130780520e+01dB,1.74973074256701e+02°)
1.06954708788526e+00	(-6.17426065418728e+01dB,1.74969599875935e+02°)
1.07028869842664e+00	(-6.17306000535163e+01dB,1.74966123109342e+02°)
1.07103082319147e+00	(-6.17185936130483e+01dB,1.74962643955314e+02°)
1.07177346253630e+00	(-6.17065872205343e+01dB,1.74959162412246e+02°)
1.07251661681795e+00	(-6.16945808760402e+01dB,1.74955678478527e+02°)
1.07326028639347e+00	(-6.16825745796319e+01dB,1.74952192152550e+02°)
